age,industry,currency,country,years_experience,years_experience_field,education,gender,total_salary,salary_COP
25-34,Education,USD,United States,5-7 years,5-7 years,Master's degree,Woman,55000.0,220000000.0
25-34,Technology,GBP,United Kingdom,8 - 10 years,5-7 years,College degree,Non-binary,58600.0,293000000.0
25-34,Finance,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,34000.0,136000000.0
25-34,Nonprofit,USD,United States,8 - 10 years,5-7 years,College degree,Woman,65000.0,260000000.0
25-34,Finance,USD,United States,8 - 10 years,5-7 years,College degree,Woman,67000.0,268000000.0
25-34,Education,USD,United States,8 - 10 years,2 - 4 years,Master's degree,Man,62000.0,248000000.0
25-34,Media & Publishing,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,35000.0,140000000.0
25-34,Education,USD,United States,5-7 years,5-7 years,Master's degree,Man,50000.0,200000000.0
45-54,Technology,USD,United States,21 - 30 years,21 - 30 years,College degree,Woman,122000.0,488000000.0
35-44,Finance,USD,United States,21 - 30 years,21 - 30 years,College degree,Woman,45000.0,180000000.0
25-34,Nonprofit,USD,United States,5-7 years,5-7 years,College degree,Woman,47500.0,190000000.0
35-44,Education,USD,United States,11 - 20 years,5-7 years,PhD,Woman,62000.0,248000000.0
35-44,Finance,USD,United States,11 - 20 years,11 - 20 years,College degree,Man,100000.0,400000000.0
18-24,Healthcare,CAD,Canada,1 year or less,1 year or less,College degree,Woman,32000.0,102400000.0
35-44,Utilities & Telecommunications,GBP,United Kingdom,11 - 20 years,5-7 years,College degree,Man,24500.0,122500000.0
35-44,Other,USD,United States,8 - 10 years,8 - 10 years,Some college,Woman,90000.0,360000000.0
45-54,Arts & Culture,USD,United States,21 - 30 years,21 - 30 years,College degree,Woman,59000.0,236000000.0
35-44,Other,USD,United States,11 - 20 years,2 - 4 years,Master's degree,Woman,99000.0,396000000.0
35-44,Education,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,54000.0,216000000.0
25-34,Healthcare,USD,United States,5-7 years,5-7 years,Master's degree,Woman,74000.0,296000000.0
35-44,Nonprofit,USD,United States,5-7 years,2 - 4 years,PhD,Woman,50000.0,200000000.0
35-44,Nonprofit,CAD,Canada,11 - 20 years,8 - 10 years,Master's degree,Woman,63000.0,201600000.0
35-44,Government,USD,United States,8 - 10 years,2 - 4 years,PhD,Woman,97000.0,388000000.0
35-44,Education,USD,United States,11 - 20 years,1 year or less,Master's degree,Woman,60000.0,240000000.0
25-34,Nonprofit,USD,United States,5-7 years,2 - 4 years,College degree,Man,62000.0,248000000.0
35-44,Legal,USD,United States,11 - 20 years,2 - 4 years,College degree,Woman,52000.0,208000000.0
35-44,Government,USD,United States,11 - 20 years,11 - 20 years,Master's degree,Woman,140000.0,560000000.0
25-34,Manufacturing,USD,United States,5-7 years,5-7 years,College degree,Woman,80000.0,320000000.0
25-34,Nonprofit,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,39000.0,156000000.0
35-44,Media & Publishing,USD,United States,11 - 20 years,8 - 10 years,Master's degree,Woman,125000.0,500000000.0
25-34,Finance,USD,United States,11 - 20 years,11 - 20 years,College degree,Woman,230000.0,920000000.0
35-44,Finance,USD,United States,21 - 30 years,11 - 20 years,College degree,Woman,125000.0,500000000.0
25-34,Nonprofit,USD,United States,5-7 years,2 - 4 years,College degree,Woman,50000.0,200000000.0
35-44,Education,USD,United States,5-7 years,2 - 4 years,Master's degree,Woman,68000.0,272000000.0
18-24,Media & Publishing,USD,United States,2 - 4 years,2 - 4 years,College degree,Woman,41100.0,164400000.0
